IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
2.45,89,11,Tidak,1500000,Laki-laki,Tidak,Tidak
3.5,77,7,Ya,4600000,Laki-laki,Ya,Ya
3.3,79,16,Tidak,2800000,Perempuan,Tidak,Ya
2.61,83,9,Tidak,4700000,Perempuan,Tidak,Tidak
2.39,65,10,Tidak,4500000,Laki-laki,Ya,Tidak
3.09,66,16,Tidak,5800000,Perempuan,Ya,Ya
3.78,71,16,Tidak,4550000,Perempuan,Tidak,Ya
2.0,100,12,Tidak,4050000,Perempuan,Tidak,Tidak
4.0,78,12,Tidak,6750000,Laki-laki,Ya,Ya
3.15,81,8,Ya,4350000,Laki-laki,Ya,Ya
2.1,95,13,Ya,6700000,Perempuan,Tidak,Tidak
3.14,76,14,Tidak,4550000,Perempuan,Tidak,Tidak
3.51,86,17,Tidak,2100000,Laki-laki,Ya,Ya
2.83,88,13,Tidak,4350000,Perempuan,Tidak,Ya
2.73,100,12,Ya,2900000,Perempuan,Tidak,Ya
3.29,88,7,Ya,1750000,Laki-laki,Ya,Ya
3.46,75,12,Tidak,3500000,Perempuan,Tidak,Ya
3.17,89,10,Tidak,5350000,Laki-laki,Tidak,Ya
2.76,79,12,Tidak,3400000,Laki-laki,Ya,Tidak
2.95,87,12,Ya,1950000,Laki-laki,Tidak,Tidak
2.9,92,9,Tidak,3500000,Laki-laki,Ya,Ya
3.04,77,12,Tidak,1500000,Laki-laki,Tidak,Ya
2.84,75,7,Tidak,2350000,Perempuan,Ya,Tidak
2.74,78,11,Tidak,7000000,Laki-laki,Tidak,Tidak
2.67,94,3,Ya,7100000,Perempuan,Ya,Tidak
2.94,98,12,Ya,2450000,Perempuan,Ya,Ya
3.19,100,17,Tidak,2300000,Perempuan,Ya,Ya
3.76,89,9,Ya,2900000,Perempuan,Tidak,Ya
3.2,55,12,Ya,1750000,Perempuan,Tidak,Ya
3.01,78,10,Ya,4750000,Perempuan,Ya,Ya
3.34,98,12,Tidak,3650000,Perempuan,Ya,Ya
3.1,83,10,Tidak,3150000,Laki-laki,Ya,Ya
3.35,90,11,Tidak,3150000,Laki-laki,Ya,Ya
3.21,81,7,Tidak,2400000,Perempuan,Ya,Ya
3.45,98,16,Tidak,5250000,Perempuan,Tidak,Ya
3.08,81,11,Tidak,11400000,Laki-laki,Tidak,Ya
2.76,76,8,Ya,1750000,Laki-laki,Ya,Tidak
2.32,91,9,Tidak,2750000,Laki-laki,Ya,Tidak
3.0,99,10,Ya,3800000,Perempuan,Ya,Ya
2.57,77,10,Tidak,4800000,Laki-laki,Ya,Tidak
2.07,100,13,Tidak,6400000,Perempuan,Tidak,Tidak
2.37,100,14,Ya,2600000,Perempuan,Tidak,Tidak
3.49,77,14,Tidak,4100000,Laki-laki,Ya,Ya
3.44,58,8,Ya,2750000,Perempuan,Tidak,Ya
2.23,85,12,Tidak,8550000,Perempuan,Ya,Tidak
2.78,90,11,Ya,7850000,Perempuan,Tidak,Ya
3.24,67,4,Tidak,4250000,Laki-laki,Ya,Tidak
3.39,58,8,Tidak,2800000,Laki-laki,Tidak,Tidak
2.37,90,12,Tidak,4250000,Laki-laki,Tidak,Tidak
2.66,100,10,Ya,4300000,Perempuan,Tidak,Ya
3.09,71,9,Ya,2850000,Laki-laki,Tidak,Ya
2.65,77,10,Tidak,4750000,Perempuan,Ya,Tidak
2.78,76,14,Ya,3850000,Perempuan,Ya,Tidak
3.38,73,19,Tidak,4350000,Laki-laki,Tidak,Ya
2.62,72,15,Tidak,4800000,Laki-laki,Ya,Tidak
2.54,80,16,Ya,5800000,Perempuan,Tidak,Ya
2.9,83,5,Tidak,3250000,Laki-laki,Tidak,Tidak
3.52,74,7,Ya,3700000,Laki-laki,Tidak,Ya
2.98,85,9,Ya,4300000,Laki-laki,Ya,Tidak
3.1,62,12,Ya,4950000,Perempuan,Tidak,Ya
3.0,81,8,Ya,4650000,Laki-laki,Tidak,Ya
3.37,67,9,Ya,5500000,Perempuan,Ya,Ya
2.74,74,7,Ya,3050000,Laki-laki,Tidak,Tidak
3.14,93,8,Tidak,2300000,Laki-laki,Ya,Ya
2.49,90,10,Tidak,2300000,Perempuan,Ya,Tidak
2.99,88,14,Tidak,3500000,Laki-laki,Tidak,Ya
4.0,85,5,Ya,3650000,Perempuan,Ya,Ya
3.06,70,3,Ya,2450000,Laki-laki,Ya,Tidak
3.1,76,10,Tidak,2500000,Laki-laki,Tidak,Ya
3.16,70,5,Ya,2550000,Perempuan,Tidak,Tidak
3.15,71,5,Ya,4600000,Perempuan,Tidak,Ya
2.53,86,9,Tidak,3050000,Perempuan,Tidak,Tidak
3.11,84,11,Tidak,1850000,Perempuan,Tidak,Ya
3.56,67,12,Tidak,4100000,Perempuan,Tidak,Ya
2.57,71,11,Tidak,3150000,Laki-laki,Tidak,Tidak
3.35,79,12,Tidak,2400000,Perempuan,Tidak,Ya
3.94,64,3,Ya,2950000,Laki-laki,Tidak,Ya
4.0,70,12,Ya,2100000,Laki-laki,Tidak,Ya
2.92,83,15,Ya,3450000,Perempuan,Ya,Ya
2.36,76,12,Tidak,4700000,Laki-laki,Tidak,Tidak
3.16,78,9,Ya,3300000,Perempuan,Ya,Ya
2.9,77,15,Ya,1900000,Laki-laki,Ya,Ya
3.15,70,8,Tidak,3550000,Laki-laki,Tidak,Tidak
2.79,74,17,Ya,4250000,Perempuan,Tidak,Ya
3.2,71,8,Tidak,4400000,Laki-laki,Tidak,Ya
2.45,74,4,Ya,3650000,Perempuan,Tidak,Tidak
3.02,60,5,Tidak,1750000,Perempuan,Ya,Tidak
3.3,59,4,Tidak,2150000,Laki-laki,Ya,Ya
3.59,90,8,Tidak,3100000,Perempuan,Ya,Ya
2.86,93,13,Ya,1500000,Perempuan,Ya,Ya
3.55,94,11,Tidak,8950000,Laki-laki,Tidak,Ya
3.83,82,10,Tidak,2300000,Laki-laki,Ya,Ya
2.37,88,19,Tidak,2150000,Laki-laki,Tidak,Ya
3.38,67,13,Tidak,3150000,Laki-laki,Tidak,Ya
3.02,83,10,Tidak,3500000,Laki-laki,Ya,Tidak
2.59,76,18,Ya,2150000,Perempuan,Ya,Ya
2.94,77,12,Ya,2250000,Perempuan,Tidak,Ya
3.03,83,20,Ya,2100000,Perempuan,Tidak,Ya
2.7,73,14,Tidak,4250000,Perempuan,Tidak,Ya
2.56,88,7,Tidak,3900000,Perempuan,Tidak,Tidak
2.71,84,9,Tidak,2100000,Laki-laki,Ya,Tidak
2.91,87,12,Tidak,5550000,Laki-laki,Tidak,Ya
3.78,88,7,Ya,1800000,Laki-laki,Ya,Ya
2.82,78,7,Ya,3300000,Perempuan,Tidak,Tidak
3.35,83,7,Ya,5700000,Perempuan,Ya,Ya
2.82,85,13,Tidak,2950000,Perempuan,Tidak,Ya
2.13,89,9,Ya,1950000,Laki-laki,Tidak,Tidak
3.21,83,8,Tidak,4600000,Perempuan,Tidak,Tidak
3.56,99,9,Tidak,8450000,Laki-laki,Tidak,Ya
2.91,72,6,Tidak,4750000,Laki-laki,Tidak,Tidak
2.39,90,16,Tidak,2350000,Laki-laki,Tidak,Tidak
2.0,75,8,Ya,4300000,Laki-laki,Ya,Tidak
2.5,64,10,Tidak,4300000,Perempuan,Tidak,Tidak
3.42,72,13,Tidak,3900000,Perempuan,Tidak,Ya
3.29,98,20,Tidak,3200000,Perempuan,Tidak,Ya
3.17,62,8,Tidak,7450000,Laki-laki,Tidak,Ya
2.11,78,4,Tidak,3000000,Perempuan,Ya,Tidak
3.28,82,19,Tidak,2550000,Perempuan,Tidak,Ya
3.47,82,15,Tidak,3000000,Perempuan,Tidak,Ya
3.6,87,11,Tidak,5550000,Laki-laki,Tidak,Ya
2.96,100,11,Tidak,5050000,Laki-laki,Ya,Ya
3.45,73,9,Ya,10150000,Laki-laki,Tidak,Ya
3.51,74,4,Ya,4650000,Perempuan,Tidak,Ya
2.64,70,16,Tidak,6750000,Laki-laki,Tidak,Tidak
3.17,79,9,Ya,7700000,Laki-laki,Tidak,Tidak
2.68,100,6,Ya,1900000,Perempuan,Ya,Ya
2.62,91,12,Tidak,4300000,Perempuan,Ya,Ya
3.23,79,12,Ya,2550000,Perempuan,Ya,Ya
2.83,84,14,Tidak,4150000,Laki-laki,Tidak,Ya
3.27,65,11,Tidak,1800000,Laki-laki,Ya,Tidak
2.8,81,12,Ya,7700000,Laki-laki,Tidak,Ya
3.68,100,16,Tidak,5100000,Perempuan,Ya,Ya
2.86,78,9,Tidak,2350000,Perempuan,Tidak,Ya
3.53,71,15,Ya,5750000,Perempuan,Ya,Ya
3.32,84,5,Tidak,12000000,Perempuan,Tidak,Ya
2.93,53,12,Tidak,5200000,Laki-laki,Ya,Tidak
2.64,74,11,Tidak,3800000,Laki-laki,Ya,Tidak
2.68,100,9,Tidak,4550000,Perempuan,Ya,Tidak
2.28,86,6,Tidak,5700000,Perempuan,Ya,Tidak
3.61,89,6,Ya,5150000,Laki-laki,Tidak,Ya
3.01,98,18,Tidak,6400000,Laki-laki,Tidak,Ya
3.9,75,11,Tidak,10450000,Laki-laki,Tidak,Ya
3.43,79,10,Ya,6500000,Perempuan,Ya,Ya
2.71,87,13,Ya,5200000,Laki-laki,Ya,Ya
2.72,79,7,Tidak,2450000,Laki-laki,Tidak,Tidak
3.06,86,6,Ya,2300000,Perempuan,Ya,Ya
3.41,100,12,Ya,2650000,Laki-laki,Ya,Ya
2.8,100,18,Tidak,3950000,Perempuan,Ya,Ya
2.89,74,5,Ya,2000000,Perempuan,Tidak,Ya
3.25,83,20,Tidak,4900000,Laki-laki,Tidak,Ya
2.66,76,3,Ya,4350000,Laki-laki,Tidak,Tidak
2.5,80,15,Tidak,5050000,Perempuan,Tidak,Ya
2.71,76,14,Tidak,5300000,Perempuan,Tidak,Tidak
2.0,91,14,Ya,3250000,Laki-laki,Ya,Tidak
4.0,65,6,Tidak,2800000,Laki-laki,Ya,Ya
3.2,76,4,Ya,2600000,Laki-laki,Tidak,Ya
2.44,72,11,Tidak,1900000,Laki-laki,Ya,Tidak
3.41,84,14,Tidak,3950000,Perempuan,Ya,Ya
2.95,80,10,Ya,2650000,Perempuan,Ya,Ya
3.35,82,11,Tidak,1250000,Perempuan,Tidak,Ya
2.82,100,5,Tidak,1500000,Perempuan,Tidak,Tidak
3.04,98,8,Tidak,2350000,Perempuan,Tidak,Ya
3.64,73,7,Ya,6650000,Perempuan,Tidak,Ya
3.57,80,9,Tidak,12000000,Perempuan,Tidak,Ya
2.97,95,13,Ya,5250000,Perempuan,Tidak,Tidak
4.0,93,7,Tidak,4350000,Perempuan,Ya,Ya
2.03,77,19,Tidak,3650000,Laki-laki,Tidak,Tidak
2.58,89,15,Tidak,3550000,Perempuan,Tidak,Tidak
3.15,73,5,Ya,1750000,Perempuan,Ya,Tidak
2.63,86,10,Tidak,2800000,Laki-laki,Ya,Ya
2.46,68,13,Tidak,2950000,Perempuan,Ya,Tidak
3.38,75,15,Tidak,2050000,Perempuan,Ya,Tidak
2.47,88,7,Ya,2550000,Laki-laki,Tidak,Tidak
3.02,76,13,Ya,2750000,Laki-laki,Ya,Ya
2.98,91,3,Ya,3400000,Perempuan,Tidak,Tidak
3.52,77,9,Tidak,3950000,Laki-laki,Ya,Ya
3.04,81,11,Tidak,5100000,Laki-laki,Tidak,Ya
3.3,73,9,Ya,2500000,Laki-laki,Ya,Ya
3.83,71,9,Tidak,4500000,Perempuan,Tidak,Ya
3.81,75,14,Tidak,2950000,Perempuan,Ya,Ya
3.3,84,10,Ya,2150000,Laki-laki,Tidak,Ya
2.35,85,2,Tidak,2400000,Perempuan,Tidak,Tidak
3.25,93,8,Tidak,7500000,Perempuan,Tidak,Ya
2.48,84,14,Ya,4750000,Laki-laki,Tidak,Tidak
3.17,100,6,Ya,4000000,Laki-laki,Tidak,Ya
3.75,100,10,Tidak,1900000,Perempuan,Tidak,Ya
3.93,95,11,Ya,4600000,Laki-laki,Tidak,Ya
2.94,69,6,Tidak,2650000,Perempuan,Ya,Tidak
2.54,85,10,Tidak,3050000,Perempuan,Ya,Tidak
2.83,85,15,Tidak,4600000,Laki-laki,Ya,Ya
2.65,100,13,Ya,4100000,Laki-laki,Tidak,Tidak
2.66,97,9,Ya,3600000,Perempuan,Ya,Tidak
3.22,77,9,Tidak,1950000,Laki-laki,Tidak,Ya
2.41,93,11,Ya,5200000,Perempuan,Tidak,Tidak
3.68,93,10,Ya,4700000,Laki-laki,Tidak,Ya
3.96,99,12,Tidak,2000000,Laki-laki,Ya,Ya
2.77,66,12,Tidak,5050000,Laki-laki,Tidak,Tidak
3.48,82,14,Tidak,3450000,Laki-laki,Ya,Ya
3.84,77,7,Tidak,3200000,Laki-laki,Tidak,Ya
3.08,92,11,Tidak,2000000,Perempuan,Tidak,Ya
3.2,89,9,Tidak,3600000,Perempuan,Tidak,Ya
3.79,89,10,Tidak,4400000,Laki-laki,Ya,Ya
2.46,52,6,Tidak,1950000,Laki-laki,Ya,Tidak
2.42,94,18,Tidak,4900000,Laki-laki,Tidak,Ya
2.42,81,4,Tidak,4750000,Laki-laki,Ya,Tidak
2.6,74,12,Tidak,4500000,Laki-laki,Tidak,Tidak
3.33,87,12,Ya,6050000,Laki-laki,Tidak,Ya
2.38,97,5,Tidak,1950000,Laki-laki,Ya,Tidak
3.1,89,8,Tidak,4300000,Perempuan,Tidak,Ya
3.19,79,10,Tidak,1800000,Laki-laki,Tidak,Tidak
3.14,65,11,Tidak,1700000,Perempuan,Tidak,Tidak
3.46,93,17,Tidak,3050000,Laki-laki,Tidak,Ya
2.06,89,11,Tidak,7050000,Perempuan,Ya,Tidak
3.18,71,2,Tidak,2600000,Laki-laki,Ya,Tidak
2.98,90,16,Ya,5550000,Perempuan,Tidak,Ya
3.72,100,13,Tidak,4150000,Laki-laki,Ya,Ya
3.28,87,4,Tidak,4800000,Laki-laki,Tidak,Ya
3.57,74,10,Ya,5000000,Perempuan,Tidak,Ya
2.82,84,10,Ya,3150000,Laki-laki,Ya,Ya
3.11,79,6,Ya,4650000,Laki-laki,Tidak,Ya
3.44,82,11,Tidak,5150000,Perempuan,Tidak,Ya
3.76,76,3,Ya,1850000,Laki-laki,Tidak,Ya
3.21,88,15,Tidak,3000000,Perempuan,Ya,Ya
2.82,89,11,Ya,3150000,Perempuan,Ya,Tidak
4.0,88,7,Tidak,4150000,Perempuan,Tidak,Ya
4.0,76,5,Tidak,5900000,Perempuan,Ya,Ya
3.41,83,9,Ya,6000000,Perempuan,Tidak,Ya
2.28,90,12,Tidak,2400000,Perempuan,Tidak,Tidak
3.62,77,16,Tidak,4150000,Laki-laki,Ya,Ya
3.09,81,19,Ya,4050000,Laki-laki,Tidak,Ya
2.81,94,11,Tidak,4400000,Laki-laki,Ya,Tidak
4.0,94,12,Tidak,4650000,Laki-laki,Tidak,Ya
2.75,64,2,Tidak,2650000,Laki-laki,Ya,Tidak
2.42,100,12,Tidak,4200000,Laki-laki,Tidak,Tidak
3.47,76,7,Tidak,3950000,Perempuan,Tidak,Tidak
2.81,84,20,Tidak,3200000,Laki-laki,Tidak,Tidak
2.57,76,2,Ya,6950000,Perempuan,Ya,Tidak
3.22,70,10,Tidak,6100000,Perempuan,Tidak,Ya
2.23,80,5,Tidak,3450000,Laki-laki,Ya,Tidak
2.66,81,11,Tidak,3800000,Laki-laki,Tidak,Tidak
3.08,85,13,Tidak,5050000,Laki-laki,Tidak,Tidak
4.0,96,6,Ya,4850000,Laki-laki,Ya,Ya
2.77,77,10,Tidak,2050000,Laki-laki,Ya,Tidak
2.92,66,13,Ya,2500000,Laki-laki,Tidak,Ya
2.53,92,3,Tidak,2200000,Laki-laki,Tidak,Tidak
2.59,87,9,Ya,3150000,Perempuan,Ya,Tidak
2.93,83,9,Tidak,2700000,Laki-laki,Tidak,Tidak
2.74,63,20,Ya,2100000,Laki-laki,Ya,Ya
3.58,77,13,Tidak,1300000,Laki-laki,Tidak,Ya
3.51,74,14,Tidak,3600000,Perempuan,Tidak,Ya
2.67,91,15,Ya,3450000,Laki-laki,Tidak,Ya
3.12,68,12,Tidak,6700000,Laki-laki,Ya,Tidak
3.26,73,7,Ya,2350000,Perempuan,Ya,Ya
3.07,86,10,Tidak,8850000,Perempuan,Tidak,Ya
3.19,83,11,Tidak,7000000,Laki-laki,Ya,Ya
3.43,73,14,Tidak,4500000,Perempuan,Ya,Ya
2.95,76,9,Ya,2450000,Laki-laki,Tidak,Ya
2.82,84,9,Tidak,3800000,Laki-laki,Ya,Tidak
3.05,82,15,Ya,4650000,Perempuan,Ya,Ya
3.7,84,6,Tidak,3300000,Laki-laki,Ya,Ya
2.78,81,7,Tidak,3450000,Laki-laki,Ya,Tidak
2.11,94,5,Tidak,4150000,Perempuan,Ya,Tidak
2.51,84,12,Ya,3550000,Laki-laki,Ya,Tidak
3.13,68,6,Ya,3100000,Perempuan,Ya,Ya
3.06,80,9,Ya,5150000,Perempuan,Tidak,Ya
2.47,98,2,Tidak,5000000,Laki-laki,Tidak,Tidak
3.28,77,12,Ya,3000000,Perempuan,Ya,Ya
2.58,68,11,Tidak,4150000,Perempuan,Tidak,Tidak
2.34,55,9,Ya,4800000,Laki-laki,Tidak,Tidak
3.99,89,9,Ya,3800000,Perempuan,Tidak,Ya
3.7,78,6,Ya,1900000,Perempuan,Tidak,Ya
2.46,89,14,Ya,7700000,Laki-laki,Tidak,Tidak
2.81,85,12,Tidak,2300000,Laki-laki,Ya,Ya
3.29,75,8,Tidak,2000000,Laki-laki,Ya,Ya
3.28,79,6,Tidak,8600000,Laki-laki,Tidak,Ya
2.8,93,8,Ya,3100000,Laki-laki,Ya,Ya
3.37,80,9,Tidak,6850000,Perempuan,Tidak,Tidak
3.17,79,18,Ya,4450000,Laki-laki,Ya,Ya
2.46,83,16,Tidak,3400000,Perempuan,Tidak,Ya
2.76,85,12,Tidak,3500000,Perempuan,Ya,Tidak
2.62,96,13,Tidak,2500000,Laki-laki,Ya,Ya
2.28,79,9,Tidak,2900000,Laki-laki,Tidak,Tidak
3.0,95,15,Ya,4050000,Laki-laki,Tidak,Ya
3.17,70,12,Tidak,2200000,Laki-laki,Tidak,Ya
2.15,63,11,Ya,1300000,Perempuan,Ya,Tidak
2.35,76,10,Tidak,2300000,Perempuan,Ya,Tidak
2.87,80,12,Tidak,2350000,Perempuan,Tidak,Tidak
2.67,62,8,Ya,5450000,Laki-laki,Ya,Tidak
2.69,82,11,Ya,5200000,Laki-laki,Ya,Tidak
4.0,82,8,Tidak,2200000,Perempuan,Tidak,Ya
2.92,92,6,Tidak,4000000,Laki-laki,Ya,Tidak
3.13,70,8,Tidak,3600000,Perempuan,Ya,Ya
2.63,76,14,Tidak,3450000,Perempuan,Ya,Tidak
3.89,71,14,Ya,5200000,Laki-laki,Tidak,Ya
3.3,68,7,Tidak,3000000,Perempuan,Ya,Ya
3.81,86,13,Tidak,3950000,Perempuan,Ya,Ya
2.32,72,15,Ya,1700000,Perempuan,Tidak,Tidak
2.31,85,12,Tidak,3000000,Perempuan,Tidak,Tidak
2.94,75,13,Ya,5600000,Perempuan,Tidak,Ya
3.66,87,17,Tidak,8100000,Laki-laki,Tidak,Ya
2.8,81,15,Ya,1100000,Laki-laki,Ya,Ya
2.37,90,14,Ya,2300000,Perempuan,Tidak,Tidak
3.08,82,10,Ya,4150000,Laki-laki,Tidak,Tidak
2.21,81,9,Ya,3500000,Perempuan,Tidak,Tidak
3.36,86,14,Tidak,1950000,Laki-laki,Tidak,Ya
2.66,59,11,Tidak,3550000,Laki-laki,Ya,Tidak
3.05,77,14,Tidak,3350000,Perempuan,Tidak,Ya
2.77,85,10,Ya,2450000,Laki-laki,Tidak,Tidak
3.41,94,15,Ya,4500000,Laki-laki,Ya,Ya
2.96,100,2,Ya,3750000,Perempuan,Tidak,Ya
3.56,80,4,Tidak,2750000,Laki-laki,Tidak,Ya
3.04,81,12,Ya,4800000,Laki-laki,Tidak,Ya
2.36,100,6,Ya,3950000,Laki-laki,Tidak,Tidak
3.43,76,9,Tidak,6600000,Laki-laki,Tidak,Ya
3.22,76,11,Ya,3100000,Perempuan,Ya,Ya
3.23,65,8,Tidak,3550000,Laki-laki,Tidak,Tidak
3.23,83,10,Ya,7450000,Perempuan,Tidak,Ya
3.36,95,6,Ya,8450000,Perempuan,Tidak,Tidak
2.7,84,8,Tidak,4250000,Laki-laki,Tidak,Tidak
2.61,76,12,Tidak,1050000,Perempuan,Ya,Tidak
3.18,81,6,Ya,5750000,Laki-laki,Tidak,Ya
3.61,82,4,Tidak,4400000,Laki-laki,Ya,Ya
3.71,65,2,Tidak,2800000,Laki-laki,Tidak,Ya
3.44,68,12,Tidak,3850000,Laki-laki,Tidak,Ya
2.52,92,15,Ya,1550000,Perempuan,Tidak,Tidak
3.79,64,14,Tidak,2200000,Perempuan,Ya,Ya
3.1,83,10,Ya,1750000,Laki-laki,Ya,Ya
3.33,77,10,Tidak,3250000,Perempuan,Tidak,Ya
2.82,83,14,Tidak,8600000,Laki-laki,Tidak,Tidak
3.61,99,6,Tidak,3650000,Perempuan,Ya,Ya
3.15,90,7,Tidak,4650000,Laki-laki,Tidak,Tidak
3.44,95,9,Ya,2200000,Perempuan,Ya,Ya
2.65,92,7,Tidak,2650000,Perempuan,Tidak,Tidak
2.22,76,17,Ya,3050000,Laki-laki,Ya,Ya
3.95,82,7,Ya,3400000,Perempuan,Tidak,Ya
3.4,91,17,Ya,4400000,Laki-laki,Ya,Ya
2.66,95,17,Ya,1450000,Perempuan,Tidak,Ya
2.8,82,5,Tidak,3900000,Perempuan,Tidak,Tidak
3.07,96,13,Ya,6350000,Laki-laki,Tidak,Ya
2.68,83,7,Tidak,4500000,Laki-laki,Tidak,Tidak
2.87,89,9,Ya,2100000,Laki-laki,Ya,Tidak
3.77,87,9,Tidak,6100000,Perempuan,Ya,Ya
2.48,76,11,Ya,5500000,Laki-laki,Ya,Tidak
2.9,71,9,Tidak,4050000,Laki-laki,Tidak,Ya
2.08,85,17,Ya,4500000,Perempuan,Tidak,Ya
3.3,100,7,Ya,2650000,Perempuan,Ya,Tidak
3.51,76,7,Tidak,1900000,Laki-laki,Ya,Ya
2.72,94,10,Ya,2850000,Laki-laki,Ya,Tidak
2.55,87,12,Ya,3250000,Perempuan,Ya,Tidak
3.49,67,13,Tidak,2700000,Laki-laki,Tidak,Ya
3.86,80,4,Ya,2800000,Laki-laki,Tidak,Ya
2.74,99,4,Tidak,2050000,Perempuan,Ya,Tidak
3.34,77,7,Ya,2800000,Laki-laki,Ya,Ya
3.2,75,5,Tidak,2950000,Perempuan,Tidak,Tidak
3.11,100,15,Tidak,2900000,Perempuan,Tidak,Ya
3.32,94,8,Tidak,3100000,Perempuan,Tidak,Ya
3.43,76,19,Tidak,3900000,Laki-laki,Tidak,Ya
2.91,98,10,Tidak,2600000,Perempuan,Ya,Ya
2.94,84,11,Tidak,3100000,Laki-laki,Ya,Ya
2.76,78,12,Ya,1950000,Laki-laki,Ya,Tidak
2.84,78,10,Tidak,2950000,Laki-laki,Tidak,Ya
2.95,72,12,Tidak,3200000,Perempuan,Tidak,Tidak
3.42,90,10,Tidak,4450000,Laki-laki,Ya,Ya
3.24,100,6,Tidak,3800000,Perempuan,Ya,Ya
3.34,85,11,Tidak,2950000,Laki-laki,Tidak,Ya
2.77,94,7,Tidak,4050000,Perempuan,Ya,Tidak
2.98,100,14,Tidak,6600000,Laki-laki,Tidak,Ya
3.03,92,15,Tidak,4100000,Laki-laki,Tidak,Ya
2.28,71,17,Ya,3400000,Laki-laki,Tidak,Tidak
2.2,75,16,Ya,5750000,Perempuan,Tidak,Tidak
3.08,84,12,Ya,1350000,Laki-laki,Ya,Ya
2.94,86,9,Ya,3000000,Laki-laki,Tidak,Ya
2.6,89,10,Tidak,5400000,Laki-laki,Tidak,Tidak
3.44,75,8,Ya,3050000,Laki-laki,Ya,Ya
2.56,81,6,Ya,5300000,Perempuan,Tidak,Tidak
3.38,86,6,Tidak,6800000,Perempuan,Tidak,Ya
3.16,85,10,Tidak,4600000,Perempuan,Tidak,Ya
